llm_variant,Constructive heuristic,Exact method,Hybrid / Matheuristic,Machine learning,Metaheuristic,Survey / Theoretical,Unspecified,TOTAL
Classical CARP,25,24,2,5,62,8,4,130
Other variant,16,26,12,1,20,24,21,120
Stochastic / Uncertain,2,2,14,1,43,5,4,71
Non-CARP (RPP/CPP/other),2,9,2,3,10,11,6,43
Dynamic / Time-dependent,1,3,3,0,11,5,4,27
Periodic (PCARP),2,2,3,0,15,1,3,26
Multi-depot,0,2,7,1,12,0,2,24
Prize-collecting / Profitable,0,10,1,0,7,1,1,20
Intermediate facilities (CLARPIF),4,2,1,0,4,4,1,16
Large-scale,2,1,1,0,9,2,0,15
Open (OCARP),1,3,2,0,3,1,0,10
Min-max / Balanced,1,2,0,0,5,1,1,10
Time windows (CARPTW),0,4,2,0,3,0,0,9
Multi-objective,0,2,1,0,3,0,1,7
Windy (WARP),0,6,1,0,0,0,0,7
Mixed (MCARP),3,1,2,0,0,0,0,6
Split delivery,0,1,2,0,3,0,0,6
Green / Electric,0,1,1,0,1,1,1,5
